Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,110.879997,112.839996,110.199997,112.150002,109.857864,4817500
2019-05-10,111.860001,113.129997,109.360001,112.599998,110.298676,4189900
2019-05-13,109.169998,110.349998,106.730003,107.110001,104.920876,7867600
2019-05-14,108.209999,109.849998,107.879997,109.040001,106.811424,4068200
2019-05-15,108.000000,110.870003,107.709999,110.290001,108.035881,4803600
2019-05-16,108.930000,110.629997,108.099998,109.209999,106.977951,4690600
2019-05-17,108.180000,109.480003,106.110001,106.790001,104.607414,6944000
2019-05-20,103.089996,105.889999,103.089996,104.730003,102.589523,7519900
2019-05-21,106.900002,108.000000,106.269997,107.000000,104.813126,4977200
2019-05-22,106.589996,107.889999,106.400002,106.779999,104.597618,3297000
2019-05-23,105.779999,105.989998,104.349998,105.830002,103.667038,4828000
2019-05-24,106.529999,107.489998,104.919998,105.059998,102.912773,2786400
2019-05-28,105.889999,105.949997,103.150002,103.209999,101.100578,5707100
2019-05-29,102.660004,104.900002,101.570000,104.150002,102.021370,4923400
2019-05-30,104.480003,106.099998,104.129997,105.440002,103.285011,3365700
2019-05-31,104.320000,106.120003,104.000000,104.309998,102.178093,4463100
2019-06-03,105.040001,106.980003,104.589996,105.169998,103.020523,4504500
2019-06-04,107.160004,109.250000,106.349998,109.120003,106.889793,4924700
2019-06-05,110.000000,110.290001,107.779999,109.480003,107.242439,3977400
2019-06-06,109.510002,110.669998,108.790001,110.190002,107.937927,4734100
2019-06-07,111.139999,111.830002,110.589996,111.169998,108.897896,5408600
2019-06-10,111.760002,113.510002,111.000000,112.629997,110.328056,4656800
2019-06-11,114.309998,114.339996,111.970001,112.930000,110.621918,4775700
2019-06-12,112.480003,112.790001,109.980003,110.339996,108.084854,4105400
2019-06-13,110.760002,111.360001,110.320000,111.180000,108.907692,3392000
2019-06-14,106.839996,109.050003,106.800003,107.309998,105.116783,7137800
2019-06-17,107.300003,108.000000,106.550003,106.720001,104.538849,3655300
2019-06-18,108.300003,111.570000,107.580002,111.040001,108.770554,5207900
2019-06-19,111.800003,112.300003,110.690002,111.300003,109.025238,2745900
2019-06-20,113.870003,114.349998,111.709999,112.709999,110.406418,2789900
2019-06-21,111.870003,113.370003,111.660004,112.320000,110.024391,5124900
2019-06-24,112.169998,113.089996,111.820000,112.730003,110.426018,3356200
2019-06-25,112.910004,113.239998,111.339996,111.480003,109.201561,3426200
2019-06-26,113.410004,115.019997,112.769997,114.430000,112.091278,5308200
2019-06-27,115.220001,116.660004,115.019997,115.860001,113.492043,4163800
2019-06-28,116.419998,116.830002,114.500000,114.760002,112.414520,6129800
2019-07-01,117.599998,118.980003,116.239998,117.190002,114.794853,6139500
2019-07-02,116.989998,117.000000,115.110001,116.059998,113.687950,3818600
2019-07-03,116.190002,116.400002,114.919998,115.940002,113.570404,2321700
2019-07-05,114.820000,116.070000,114.370003,115.750000,113.384293,2915400
2019-07-08,115.190002,115.820000,114.680000,114.930000,112.581047,2974500
2019-07-09,114.599998,115.919998,114.389999,115.779999,113.413673,2754000
2019-07-10,116.620003,118.449997,116.190002,116.639999,114.256096,3531800
2019-07-11,116.599998,116.980003,115.889999,116.720001,114.334465,3044700
2019-07-12,117.650002,118.400002,116.660004,118.320000,115.901764,2292500
2019-07-15,118.500000,120.000000,118.489998,119.839996,117.390686,4020600
2019-07-16,118.500000,119.050003,117.540001,118.680000,116.254402,4588800
2019-07-17,118.440002,118.489998,116.760002,117.180000,114.785065,4027700
2019-07-18,117.489998,118.720001,117.010002,118.570000,116.146660,2913000
2019-07-19,118.750000,119.000000,117.040001,117.260002,114.863434,5596300
2019-07-22,117.980003,118.489998,117.570000,118.180000,115.764626,3862700
2019-07-23,119.199997,120.349998,118.550003,120.070000,117.615997,7146900
2019-07-24,126.500000,129.800003,125.959999,129.000000,126.363487,16553300
2019-07-25,128.589996,128.800003,126.570000,127.349998,124.747208,8504500
2019-07-26,127.820000,128.929993,127.309998,128.160004,125.540657,5282300
2019-07-29,128.199997,130.369995,127.930000,129.970001,127.313660,6070100
2019-07-30,128.190002,128.970001,127.489998,128.539993,126.663292,3487300
2019-07-31,127.820000,128.570007,123.040001,125.010002,123.184837,6601600
2019-08-01,125.599998,128.729996,123.230003,123.449997,121.647606,7979300
2019-08-02,123.190002,124.349998,121.070000,121.820000,120.041405,7368400
2019-08-05,119.220001,119.290001,116.220001,116.930000,115.222801,8689800
2019-08-06,118.360001,119.349998,117.029999,119.000000,117.262581,4783900
2019-08-07,117.290001,120.989998,117.050003,120.720001,118.957466,7726600
2019-08-08,121.980003,124.580002,121.379997,124.309998,122.495056,6074300
2019-08-09,123.970001,124.320000,120.599998,120.610001,118.849075,5777500
2019-08-12,119.610001,121.070000,119.470001,120.080002,118.326813,3728400
2019-08-13,120.360001,124.449997,119.279999,123.339996,121.539215,6285300
2019-08-14,120.699997,122.209999,120.160004,120.599998,118.839218,4531700
2019-08-15,121.269997,121.610001,118.730003,119.849998,118.100166,3352600
2019-08-16,121.279999,123.209999,119.849998,122.820000,121.026810,3675100
2019-08-19,125.550003,126.360001,124.010002,124.599998,122.780823,3244500
2019-08-20,124.230003,125.220001,123.410004,124.309998,122.495056,2706400
2019-08-21,125.500000,126.080002,124.699997,126.040001,124.199799,3866100
2019-08-22,126.110001,126.599998,124.190002,125.209999,123.381920,2997800
2019-08-23,124.120003,125.089996,119.839996,120.290001,118.533752,6515900
2019-08-26,122.459999,122.470001,120.510002,121.669998,119.893593,3294000
2019-08-27,122.930000,123.580002,121.529999,122.180000,120.396156,3679700
2019-08-28,121.370003,122.980003,120.529999,122.739998,120.947983,2470800
2019-08-29,124.180000,125.309998,123.389999,123.570000,121.765854,3454600
2019-08-30,124.830002,125.239998,123.440002,123.750000,121.943230,2747100
2019-09-03,123.050003,123.480003,120.669998,121.739998,119.962578,3913200
2019-09-04,123.949997,124.940002,123.849998,124.589996,122.770966,3858200
2019-09-05,126.750000,129.009995,126.150002,126.809998,124.958557,5330400
2019-09-06,127.099998,127.910004,126.589996,127.089996,125.234459,2457500
2019-09-09,127.940002,127.940002,125.680000,127.099998,125.244324,3813700
2019-09-10,126.010002,127.059998,124.900002,127.040001,125.185196,4725600
2019-09-11,127.000000,128.649994,126.400002,128.580002,126.702721,4286100
2019-09-12,129.199997,130.919998,128.369995,130.220001,128.318771,4472900
2019-09-13,130.470001,130.889999,129.559998,129.610001,127.717674,3110800
2019-09-16,128.759995,129.479996,128.089996,128.360001,126.485931,3065800
2019-09-17,128.300003,129.699997,127.620003,129.559998,127.668404,2673600
2019-09-18,129.559998,129.559998,127.199997,129.309998,127.422050,2328000
2019-09-19,129.500000,130.259995,128.500000,128.830002,126.949066,2608100
2019-09-20,128.300003,128.750000,126.220001,126.669998,124.820595,7471500
2019-09-23,126.669998,128.350006,126.309998,127.769997,125.904533,3946200
2019-09-24,128.770004,128.809998,124.900002,125.809998,123.973160,4694600
2019-09-25,125.300003,128.330002,124.529999,127.739998,125.874969,3293400
2019-09-26,128.279999,128.669998,126.639999,128.110001,126.239578,3297700
2019-09-27,129.520004,129.639999,125.860001,127.139999,125.283737,5263500
2019-09-30,127.690002,129.399994,127.570000,129.240005,127.353081,4233400
2019-10-01,130.000000,131.800003,127.589996,128.589996,126.712563,5093900
2019-10-02,127.260002,127.779999,126.220001,126.839996,124.988113,5334600
2019-10-03,127.269997,129.250000,125.860001,128.699997,126.820961,5199700
2019-10-04,129.309998,130.309998,128.990005,130.139999,128.239929,3893000
2019-10-07,130.039993,130.490005,128.740005,128.850006,126.968781,2426200
2019-10-08,127.419998,127.870003,123.629997,124.980003,123.155281,4769100
2019-10-09,126.750000,128.179993,126.320000,127.440002,125.579353,2884800
2019-10-10,127.860001,129.369995,127.099998,127.730003,125.865128,2679300
2019-10-11,130.100006,131.759995,129.559998,130.089996,128.190674,4717200
2019-10-14,129.580002,129.940002,129.070007,129.750000,127.855621,2292900
2019-10-15,130.279999,132.199997,129.789993,131.690002,129.767319,2955400
2019-10-16,130.830002,131.449997,129.190002,129.500000,127.609283,4537600
2019-10-17,130.899994,131.389999,128.809998,130.130005,128.230087,3003500
2019-10-18,129.789993,130.419998,128.550003,129.460007,127.569878,4126000
2019-10-21,130.740005,131.020004,129.649994,130.929993,129.018402,3355100
2019-10-22,130.270004,131.100006,128.229996,128.570007,126.692863,5518900
2019-10-23,116.800003,121.620003,115.870003,118.949997,117.213310,18450000
2019-10-24,118.809998,120.290001,117.320000,118.410004,116.681198,6205400
2019-10-25,118.510002,120.690002,118.510002,120.510002,118.750542,4788200
2019-10-28,121.059998,122.099998,119.239998,120.000000,118.247978,6492900
2019-10-29,120.519997,120.919998,119.519997,120.290001,118.533752,4622200
2019-10-30,119.730003,120.070000,117.580002,117.790001,116.945229,5276200
2019-10-31,117.650002,118.309998,116.489998,117.989998,117.143791,4778400
2019-11-01,119.190002,119.589996,117.870003,118.040001,117.193436,4430000
2019-11-04,119.919998,121.410004,119.480003,120.970001,120.102417,5175400
2019-11-05,121.099998,121.730003,119.660004,119.860001,119.000381,3994500
2019-11-06,119.669998,120.550003,118.860001,120.360001,119.496796,3904700
2019-11-07,120.940002,121.860001,119.080002,119.919998,119.059944,4271200
2019-11-08,119.699997,120.139999,118.820000,120.110001,119.248589,3804900
2019-11-11,119.070000,119.699997,117.970001,118.080002,117.233147,5165300
2019-11-12,118.180000,119.910004,118.180000,119.019997,118.166397,4761100
2019-11-13,118.059998,118.959999,117.610001,118.419998,117.570709,4928800
2019-11-14,118.190002,118.360001,116.779999,117.570000,116.726807,4568500
2019-11-15,118.570000,118.760002,117.559998,118.000000,117.153717,4496800
2019-11-18,117.919998,118.290001,117.169998,117.889999,117.044510,5337700
2019-11-19,118.480003,118.480003,116.980003,117.839996,116.994865,3860600
2019-11-20,117.250000,117.699997,115.489998,116.230003,115.396416,4368600
2019-11-21,116.199997,116.349998,114.589996,116.099998,115.267342,5447700
2019-11-22,116.730003,117.529999,116.550003,117.010002,116.170822,3008900
2019-11-25,117.790001,119.470001,117.709999,119.010002,118.156479,3726400
2019-11-26,119.040001,119.500000,117.889999,119.129997,118.275612,7099700
2019-11-27,119.910004,121.809998,119.500000,121.730003,120.856972,4876200
2019-11-29,121.150002,121.639999,119.989998,120.209999,119.347870,3498900
